titulo,parrafo,contenido
¿QUÉ HARÁS EN UN ENCUENTRO?,"La JOsM llevará a cabo, preferiblemente en etapas de vacaciones escolares, encuentros en los que se realizarán: ",asdsdsa
LOS ENCUENTROS,"Desde la JOsM queremos transmitir la importancia de la atención humana, por ello queremos tener vuestra confianza y comunicación, pero es importante saber a quien dirigirnos para cualquier problema.   ",asdsdsa
SOBRE CONVOCATORIAS Y BOLSA JOsM,"Aquí encontrarás información relativa al proceso de selección de músicos/as, asignación de becas, entre otros. ",asdsdsa
RECOMENDACIONES:,"Lo más importante en la JOsM es el cariño  respeto entre compañeros, por ello se hace necesario incidir en una serie de normas y recomendaciones para hacer del ambiente de trabajo algo único: ",asdsdsa
