nombre,titulo,descripcion,imagen,redesSociales
JAVIER HERMOSA SÁNCHEZ ,DIRECTOR ARTÍSTICO / DIRECTOR TITULAR,x,../../../assets/img/director83.webp,https://facebook.com/ultracheese._,https://instagram.com/ultracheese._
ALFONSINA TORREALBA,GERENTE / DIRECTORA ASOCIADA,x,../../../assets/img/AlfonsinaTorrealba.jpeg,https://facebook.com/tuusuario,https://instagram.com/tuusuario
ANDRÉS FERNÁNDEZ ,DIRECTOR TÉCNICO / INSPECTOR,x,../../../assets/img/dir2.webp,https://facebook.com/tuusuario,https://instagram.com/tuusuario
MARINA SALAS,DIRECTORA DE MARKETING Y COMUNICACIONES,x,../../../assets/img/marina.jpg,https://facebook.com/tuusuario,https://instagram.com/tuusuario
KAI MOSSOP,DIRECTOR COMERCIAL,x,../../../assets/img/KaiMossop.jpeg,https://facebook.com/tuusuario,https://instagram.com/tuusuario
ROBERTO DELGADO,PRESENTANTE COMITÉ JOsM,x,../../../assets/img/robe.webp,https://facebook.com/tuusuario,https://instagram.com/tuusuario
YONAN DANIEL,CONSULTOR ADJUNTO,x,../../../assets/img/yonan.webp,https://facebook.com/tuusuario,https://instagram.com/tuusuario,https://twitter.com/tuusuario
